#{"t_start": 1786829237.1354809, "env_id": "None"}
r,l,t
-38.1,1,3.610233
-62.1,1,3.613912
-28.8,1,3.617811
-10.0,2,3.625832
-10.0,1,3.632777
-30.6,1,3.6382
-67.5,1,3.644504
-10.0,5,3.663233
-54.9,1,3.669102
-10.0,1,3.675455
-10.0,2,3.684304
-10.0,1,3.690302
-10.0,1,3.698294
-10.0,1,3.706095
-30.9,3,3.717373
-44.4,1,3.722405
-69.3,2,3.731228
-47.1,2,3.740124
-30.3,2,3.749797
-10.0,2,3.761639
-41.1,1,3.769658
-54.9,1,3.775799
-93.3,1,3.782389
-72.6,1,3.78869
-32.1,1,3.795313
-10.0,2,3.804906
-10.0,1,3.812101
-10.0,1,3.819467
-10.0,1,3.827141
-10.0,1,3.836579
-10.0,1,3.844056
-10.0,1,3.853462
-35.7,1,3.862061
-10.0,1,3.870056
-43.2,1,3.877767
-40.5,3,3.897909
-25.2,1,3.908283
-10.0,3,3.931099
-35.1,1,3.943833
-43.8,4,3.969499
-10.0,1,3.979102
-32.1,1,3.990736
-10.0,1,4.003535
-10.0,1,4.014038
-10.0,1,4.023623
-31.8,2,4.045074
-69.3,2,4.058871
-10.0,1,4.067841
-44.7,1,4.076584
-40.5,3,4.093379
-10.0,1,4.102717
-10.0,2,4.117631
-10.0,2,4.13387
-35.1,3,4.154282
-10.0,3,4.170181
-45.3,1,4.17789
-10.0,5,4.199869
-45.3,1,4.206555
-10.0,2,4.215472
-10.0,2,4.223886
-10.0,1,4.228687
-10.0,2,4.235936
-10.0,1,4.240767
-54.0,1,4.245481
-33.9,2,4.253068
-10.0,1,4.258897
-10.0,2,4.266197
-10.0,1,4.272514
-49.2,1,4.277398
-10.0,2,4.284757
-70.8,1,4.289632
-41.1,1,4.294418
-10.0,1,4.299819
-42.9,2,4.30747
-49.5,1,4.31233
-44.4,1,4.31732
-10.0,1,4.32213
-42.3,1,4.326901
-42.0,1,4.332391
-35.1,1,4.338566
-10.0,1,4.343494
-10.0,1,4.34838
-70.5,2,4.35553
-54.6,2,4.362768
-10.0,2,4.369946
-69.3,2,4.377065
-54.0,1,4.382186
-56.4,2,4.389283
-38.7,1,4.394397
-10.0,1,4.399726
-70.5,2,4.408951
-10.0,1,4.415996
-44.4,1,4.421434
-10.0,2,4.429942
-47.4,1,4.438434
-10.0,1,4.443297
-10.0,1,4.449233
-10.0,1,4.454968
-65.4,1,4.460651
-10.0,1,4.466176
-44.4,2,4.474569
-10.0,1,4.480219
-39.0,1,4.485569
-10.0,4,4.503181
-61.8,1,4.510957
-10.0,1,4.516054
-10.0,3,4.530049
-48.9,1,4.538976
-85.5,1,4.547743
-10.0,2,4.560721
-45.0,1,4.566772
-67.2,2,4.578153
-10.0,1,4.58413
-33.6,1,4.589672
-10.0,2,4.597203
-48.9,1,4.602143
-10.0,2,4.609123
-10.0,1,4.613694
-10.0,1,4.618707
-42.9,1,4.625203
-10.0,1,4.62963
-41.1,1,4.633772
-10.0,3,4.642065
-10.0,3,4.650563
-10.0,1,4.653546
-40.2,1,4.656131
-36.0,2,4.659817
-10.0,1,4.662513
-10.0,1,4.665203
-10.0,1,4.667898
-10.0,2,4.671776
-48.6,3,4.676924
-44.7,1,4.679756
-45.3,1,4.682612
-42.3,2,4.688292
-42.0,3,4.696565
-41.4,1,4.700921
-42.0,1,4.705221
-45.3,1,4.709395
-61.5,1,4.713583
-31.8,2,4.719557
-10.0,1,4.723648
-10.0,1,4.727854
-10.0,2,4.734822
-10.0,1,4.739084
-10.0,1,4.743505
-43.5,4,4.7535
-48.6,3,4.762609
-31.2,2,4.77103
-10.0,3,4.782278
-39.6,3,4.793806
-10.0,3,4.808892
-10.0,1,4.81748
-38.7,1,4.826693
-10.0,1,4.834438
-10.0,2,4.846991
-10.0,2,4.856839
-86.7,2,4.867252
-45.3,1,4.872864
-48.6,2,4.883006
-10.0,1,4.888381
-38.7,2,4.897565
-10.0,3,4.907362
-10.0,1,4.912574
-10.0,1,4.917531
-10.0,2,4.925041
