#{"t_start": 1786528249.9796882, "env_id": "None"}
r,l,t
-10.0,3,16.619588
-10.0,2,16.648001
-10.0,1,16.657171
-54.9,1,16.665781
-10.0,3,16.690976
-10.0,1,16.714609
-42.0,1,16.723883
-30.6,3,16.751266
-46.8,1,16.761086
-10.0,2,16.807629
-31.2,1,16.818263
-35.7,3,16.843617
-10.0,1,16.852808
-10.0,1,16.874448
-33.3,2,16.895339
-10.0,3,16.91637
-47.1,2,16.927871
-61.2,2,16.959783
-34.5,5,16.989656
-10.0,2,16.997493
-10.0,1,17.010006
-10.0,1,17.028959
-41.1,1,17.036195
-54.3,3,17.061909
-10.0,2,17.074178
-10.0,2,17.104664
-10.0,1,17.112514
-10.0,3,17.12962
-10.0,1,17.136515
-48.0,3,17.168708
-10.0,1,17.176644
-56.4,2,17.193607
-40.8,2,17.199598
-72.6,1,17.215052
-10.0,3,17.23713
-10.0,1,17.242947
-10.0,1,17.256162
-33.6,4,17.285998
-10.0,2,17.294888
-10.0,1,17.303201
-10.0,1,17.318151
-10.0,3,17.337284
-64.8,3,17.358075
-10.0,1,17.36504
-10.0,7,17.393575
-49.8,1,17.408403
-10.0,1,17.425336
-10.0,1,17.431764
-10.0,1,17.437241
-10.0,3,17.467475
-10.0,3,17.487102
-10.0,1,17.491508
-10.0,1,17.496621
-10.0,1,17.511492
-10.0,2,17.531775
-10.0,1,17.537637
-10.0,2,17.554959
-10.0,1,17.570852
-10.0,1,17.577203
-30.9,1,17.582336
-55.8,4,17.603065
-10.0,4,17.631667
-64.5,2,17.650211
-56.7,1,17.656413
-10.0,2,17.671427
-49.5,1,17.688012
-30.9,2,17.696748
-10.0,3,17.71736
-51.0,2,17.742801
-10.0,3,17.773142
-10.0,1,17.796993
-10.0,7,17.828666
-25.2,1,17.847442
-10.0,1,17.865184
-10.0,1,17.873027
-44.7,1,17.882848
-56.7,1,17.905018
-27.6,5,17.950818
-10.0,7,17.98804
-36.9,1,17.995547
-10.0,2,18.005594
-38.7,1,18.036083
-53.7,2,18.045292
-10.0,2,18.063318
-38.1,3,18.076705
-10.0,2,18.1038
-61.8,1,18.111907
-44.7,1,18.119169
-48.6,1,18.133598
-10.0,1,18.153404
-67.8,2,18.16751
-10.0,1,18.184696
-48.9,1,18.191931
-44.4,1,18.210408
-10.0,5,18.233216
-93.3,1,18.25018
-69.3,2,18.260876
-53.4,2,18.293368
-31.5,1,18.300434
-10.0,1,18.306656
-37.8,4,18.331652
-42.3,1,18.347439
-10.0,1,18.364818
-66.9,3,18.372483
-43.5,1,18.386
-10.0,2,18.402359
-28.8,1,18.407894
-10.0,1,18.423476
-35.4,2,18.431717
-10.0,4,18.462855
-10.0,3,18.47912
-33.3,5,18.501187
-44.4,2,18.518208
-10.0,1,18.534242
-42.9,1,18.540077
-32.1,1,18.548132
-92.7,3,18.56806
-10.0,1,18.582456
-42.9,1,18.599584
-39.9,2,18.608108
-10.0,1,18.61471
-10.0,4,18.649065
-87.0,1,18.672549
-68.1,1,18.679639
-10.0,4,18.709416
-53.4,3,18.75633
-44.1,3,18.774971
-48.9,1,18.792486
-60.9,4,18.815796
-45.3,1,18.834457
-40.8,2,18.849133
-49.2,1,18.869049
-10.0,1,18.878536
-43.2,1,18.901251
-56.1,3,18.930252
-66.9,2,18.940972
-61.8,1,18.957636
-30.9,1,18.979537
-10.0,6,19.010293
-28.8,4,19.03299
-33.6,1,19.045878
-42.9,2,19.065635
-34.5,1,19.07039
-40.8,3,19.095469
-43.2,1,19.10233
-36.3,1,19.134294
-10.0,1,19.142371
-48.6,1,19.149715
-10.0,1,19.156777
-10.0,1,19.182056
-38.7,1,19.190877
-10.0,1,19.198137
-10.0,4,19.222596
-10.0,1,19.23891
-51.3,1,19.25322
-10.0,1,19.262276
-48.6,1,19.268817
-10.0,2,19.294513
-44.1,4,19.311761
-10.0,3,19.323025
-62.1,1,19.334212
-48.6,1,19.34904
-10.0,6,19.370023
-10.0,1,19.383463
-10.0,1,19.387886
-65.7,7,19.431295
-56.4,2,19.437772
-49.2,2,19.45208
-10.0,2,19.45806
-10.0,4,19.484967
-10.0,1,19.491331
-44.1,3,19.514607
-10.0,1,19.524849
-10.0,1,19.55161
-10.0,1,19.556241
-51.3,1,19.561911
-44.4,1,19.57118
-10.0,1,19.598876
-35.7,3,19.609726
-10.0,1,19.627812
-50.7,3,19.63948
-43.2,1,19.665735
-38.7,1,19.672677
-10.0,1,19.683037
-10.0,2,19.706413
-33.6,1,19.730009
-10.0,1,19.741512
-42.3,1,19.75249
-10.0,2,19.781595
-10.0,1,19.805995
-10.0,3,19.836211
-10.0,1,19.845975
-42.6,3,19.872952
-10.0,2,19.898216
-30.6,2,19.92244
-31.2,1,19.931826
-10.0,3,19.967104
-10.0,4,20.010748
-44.1,1,20.018707
-28.8,1,20.027632
-10.0,6,20.069779
-38.4,2,20.089304
-10.0,2,20.112424
-10.0,1,20.119109
-10.0,1,20.127075
-10.0,3,20.160326
-35.4,2,20.181655
-10.0,2,20.189847
-10.0,1,20.197139
-10.0,1,20.223708
-45.3,1,20.230491
-48.3,2,20.240394
-43.5,1,20.254193
-10.0,1,20.272248
-54.0,1,20.280298
-10.0,3,20.302459
-10.0,1,20.310226
-34.2,2,20.342723
-43.2,1,20.351643
-34.5,1,20.360022
-10.0,1,20.365791
-10.0,10,20.436796
-10.0,1,20.445195
-69.3,2,20.461046
-32.4,7,20.494476
-10.0,1,20.520476
-35.7,1,20.528786
-10.0,1,20.536053
-41.7,2,20.557215
-10.0,8,20.629639
-10.0,1,20.637935
-10.0,1,20.647346
-46.5,2,20.672583
-45.0,1,20.693724
-62.1,1,20.703751
-67.2,1,20.713539
-10.0,2,20.735736
-10.0,1,20.758249
-10.0,1,20.767525
-33.3,2,20.792211
-10.0,2,20.804932
-42.9,2,20.842155
-10.0,2,20.85575
-69.6,1,20.878156
-10.0,3,20.904863
-35.7,1,20.938403
-10.0,1,20.947746
-10.0,2,20.958613
-53.7,2,20.978272
-38.1,3,21.018779
-10.0,1,21.027676
-10.0,1,21.035756
-10.0,1,21.045115
-42.0,2,21.080885
-48.6,1,21.089339
-41.1,1,21.098308
-10.0,1,21.113312
-46.2,3,21.136481
-10.0,2,21.155458
-34.2,1,21.161865
-68.1,1,21.169424
-48.6,1,21.198224
-69.6,1,21.204651
-10.0,2,21.218898
-33.6,1,21.237876
-54.0,1,21.255267
-52.8,5,21.281948
-10.0,2,21.297007
-10.0,1,21.304755
-42.3,2,21.32687
-70.8,1,21.347097
-51.3,1,21.353459
-60.9,3,21.373801
-47.4,5,21.411526
-10.0,4,21.450784
-10.0,1,21.467152
-42.9,1,21.477804
-45.3,1,21.521971
-60.9,3,21.539861
-41.7,2,21.569613
-31.5,3,21.603256
-10.0,3,21.633589
-54.9,1,21.655588
-48.6,1,21.663982
-10.0,1,21.673044
-10.0,1,21.69248
-10.0,1,21.714065
-41.7,4,21.7394
-10.0,1,21.744321
-41.1,1,21.763043
-10.0,3,21.791332
-10.0,2,21.803667
-48.3,2,21.825501
-10.0,1,21.842952
-33.3,2,21.865547
-10.0,1,21.872094
-10.0,2,21.88296
-65.4,1,21.911502
-10.0,1,21.921335
-78.6,1,21.927884
-10.0,1,21.934853
-37.8,3,21.973784
-10.0,2,21.99577
-10.0,4,22.021415
-45.3,1,22.029371
-36.6,2,22.049501
-51.3,1,22.070237
-10.0,1,22.077754
-30.9,1,22.082485
-38.1,1,22.102074
-10.0,1,22.116727
-10.0,3,22.129156
-10.0,6,22.170971
-10.0,2,22.190701
-10.0,1,22.206828
-10.0,1,22.214437
-53.7,2,22.224821
-56.7,1,22.258769
-53.4,6,22.296907
-10.0,5,22.338336
-10.0,1,22.360902
-33.6,1,22.388623
-10.0,1,22.401286
-10.0,2,22.445134
-10.0,2,22.462714
-42.3,1,22.489455
-10.0,2,22.516502
-46.8,3,22.543103
-10.0,2,22.554203
-48.9,1,22.573416
-39.3,4,22.608676
-39.9,2,22.634393
-10.0,2,22.645306
-10.0,4,22.689837
-28.8,1,22.7061
-10.0,1,22.713968
-39.9,5,22.744434
-10.0,1,22.764773
-39.9,5,22.809361
-10.0,3,22.824979
-10.0,2,22.845059
-10.0,1,22.862539
-10.0,1,22.866928
-33.6,1,22.88381
-10.0,2,22.89149
-10.0,4,22.927832
-10.0,2,22.948276
-10.0,1,22.954968
-64.2,3,22.986874
-10.0,1,23.015899
-65.1,2,23.034369
-10.0,2,23.119183
-41.7,6,23.18983
-10.0,2,23.236336
-33.6,1,23.250903
-10.0,3,23.295162
-47.1,6,23.336473
-10.0,3,23.383244
-53.4,1,23.391003
-10.0,2,23.414221
-69.0,3,23.445908
-10.0,2,23.475073
-10.0,1,23.487525
-32.1,1,23.528554
-10.0,1,23.541821
-48.0,4,23.593408
-10.0,1,23.60171
-40.8,2,23.630165
-54.3,3,23.64695
-10.0,1,23.680928
-10.0,1,23.689262
-10.0,1,23.698535
-10.0,2,23.719274
-43.2,1,23.738846
-40.2,1,23.746075
-53.1,2,23.768008
-38.1,3,23.77988
-10.0,1,23.80948
-10.0,2,23.82464
-10.0,3,23.856156
-10.0,2,23.869067
-42.3,1,23.908784
-64.5,4,23.950849
-10.0,1,23.962715
-49.8,1,23.973712
-10.0,1,24.000829
-46.8,2,24.166988
-10.0,1,24.177376
-43.2,1,24.214303
-10.0,2,24.276999
-51.3,1,24.289218
-53.7,2,24.319788
-30.9,5,24.359456
-10.0,2,24.387777
-10.0,2,24.413013
-10.0,1,24.422754
-10.0,3,24.452163
-42.3,2,24.473399
-43.2,5,24.522138
-44.1,2,24.535981
-10.0,1,24.543549
-48.3,2,24.578734
-28.8,1,24.587595
-31.5,3,24.618904
-45.6,5,24.66186
-53.1,3,24.713091
-69.0,3,24.745987
-10.0,1,24.758897
-54.6,2,24.775817
-10.0,1,24.821107
-28.8,1,24.831722
-61.8,1,24.844136
-25.8,1,24.85521
-10.0,1,24.892919
-10.0,2,24.908363
-10.0,3,24.940053
-10.0,2,24.953399
-47.4,1,24.991767
-46.8,1,25.007497
-10.0,1,25.016433
-48.3,2,25.039199
-10.0,1,25.062293
-49.2,2,25.078947
-86.7,2,25.101821
-10.0,3,25.128386
-10.0,1,25.148362
-35.1,3,25.170892
-10.0,1,25.177855
-10.0,2,25.185987
-69.0,3,25.226334
-33.9,2,25.246923
-51.3,1,25.255753
-10.0,4,25.279716
-36.3,9,25.338804
-10.0,1,25.3478
-42.9,6,25.385765
-10.0,4,25.408969
-49.5,1,25.423972
-10.0,1,25.430642
-31.5,1,25.448699
-43.5,1,25.456141
-10.0,1,25.474056
-49.5,1,25.481791
-10.0,1,25.499408
-10.0,1,25.507741
-69.3,2,25.529564
-10.0,1,25.547904
-10.0,3,25.559757
-10.0,1,25.574512
-10.0,1,25.591575
-10.0,2,25.600943
-42.3,3,25.630979
-42.0,6,25.693011
-53.4,3,25.721978
-53.7,2,25.749952
-10.0,4,25.78532
-10.0,1,25.794539
-51.0,2,25.833781
-10.0,2,25.846483
-32.1,1,25.855467
-10.0,7,25.894269
-10.0,1,25.912556
-10.0,5,25.953515
-40.5,8,25.995452
-10.0,3,26.008541
-54.0,1,26.039215
-44.7,3,26.054741
-10.0,1,26.073062
-10.0,7,26.105385
-53.1,3,26.141184
-44.1,2,26.159219
-10.0,1,26.167887
-10.0,3,26.187786
-10.0,1,26.204979
-42.3,1,26.213248
-10.0,5,26.239929
-36.3,3,26.260651
-42.9,2,26.288316
-35.1,3,26.30046
-43.8,6,26.33635
-10.0,1,26.344363
-54.9,7,26.393411
-32.4,8,26.432168
-66.0,5,26.453229
-49.2,3,26.472848
-33.6,1,26.487568
-10.0,2,26.506458
-68.1,1,26.512597
-10.0,1,26.517489
-34.5,1,26.531965
-42.0,5,26.565226
-10.0,2,26.574155
-40.2,1,26.580912
-10.0,2,26.608838
-10.0,2,26.618279
-48.6,1,26.630476
-10.0,2,26.638129
-10.0,8,26.692395
-44.1,1,26.698519
-64.8,3,26.71827
-35.4,2,26.734869
-10.0,1,26.750642
-10.0,1,26.757553
-36.9,5,26.795354
-10.0,9,26.852346
-10.0,5,26.908124
-10.0,5,26.937521
-10.0,7,26.981094
-33.6,1,26.988627
-25.8,1,27.009894
-41.7,6,27.055909
-48.6,3,27.079271
-10.0,1,27.086911
-10.0,3,27.124132
-41.7,2,27.134849
-10.0,6,27.176461
-53.4,1,27.185052
-24.9,2,27.207362
-70.8,1,27.226955
-10.0,3,27.241212
-10.0,1,27.259929
-10.0,1,27.278621
-10.0,1,27.286731
-10.0,4,27.307846
-42.3,3,27.32822
-46.8,2,27.349757
-10.0,1,27.365691
-28.8,1,27.370051
-10.0,1,27.37439
-10.0,1,27.390661
-34.8,4,27.416536
-10.0,1,27.433106
-10.0,2,27.442012
-47.4,5,27.476812
-10.0,1,27.49193
-28.8,4,27.510785
-43.5,5,27.531456
-31.8,2,27.548058
-54.0,1,27.56199
-10.0,3,27.572855
-10.0,4,27.593337
-10.0,3,27.620287
-93.3,1,27.626239
-46.8,1,27.64021
-10.0,4,27.657459
-47.4,2,27.673119
-10.0,2,27.691859
-10.0,1,27.700334
-10.0,3,34.881821
-10.0,4,34.910006
-10.0,1,34.915615
-10.0,3,34.933131
-42.6,3,34.941334
-10.0,4,34.969795
-10.0,4,34.989544
-10.0,4,35.018742
-10.0,4,35.046665
-48.6,1,35.078379
-10.0,2,35.091916
-10.0,3,35.116586
-64.5,2,35.128603
-10.0,1,35.169913
-40.2,1,35.179131
-85.5,1,35.189388
-67.2,1,35.199862
-42.6,3,35.259011
-10.0,2,35.284859
-10.0,3,35.307454
-44.7,1,35.331101
-45.3,1,35.354313
-46.2,3,35.380556
-10.0,4,35.409457
-31.8,2,35.419636
-41.1,1,35.43796
-40.5,3,35.458939
-44.4,2,35.482071
-10.0,1,35.490498
-10.0,4,35.527432
-46.5,5,35.553768
-10.0,3,35.569248
-10.0,2,35.575905
-10.0,1,35.601196
-48.6,2,35.608896
-87.0,1,35.618071
-47.1,2,35.635489
-54.9,1,35.654207
-31.8,2,35.671737
-10.0,1,35.680497
-10.0,1,35.686797
-69.0,3,35.720412
-10.0,3,35.742157
-10.0,2,35.753842
-28.8,1,35.762034
-10.0,2,35.792403
-10.0,3,35.816545
-10.0,1,35.825755
-43.2,4,35.854905
-10.0,1,35.877105
-54.0,1,35.886679
-10.0,1,35.905412
-10.0,9,35.977327
-70.8,1,36.003116
-44.7,2,36.034771
-30.9,3,36.056825
-53.7,1,36.084839
-10.0,1,36.113983
-10.0,3,36.148306
-10.0,1,36.156468
-69.3,2,36.165107
-66.9,2,36.204986
-10.0,2,36.216462
-49.5,1,36.236969
-44.1,2,36.245541
-10.0,1,36.268412
-10.0,3,36.292633
-10.0,3,36.318205
-10.0,2,36.327368
-10.0,2,36.363234
-10.0,1,36.373556
-50.7,10,36.4451
-61.8,1,36.454151
-10.0,1,36.473014
-10.0,1,36.482144
-61.5,3,36.508315
-10.0,1,36.517054
-43.2,1,36.549236
-48.9,2,36.562214
-61.8,1,36.570377
-30.9,1,36.589757
-10.0,4,36.637192
-67.8,2,36.652962
-10.0,5,36.699907
-48.6,1,36.725589
-10.0,2,36.757688
-10.0,2,36.789274
-54.9,1,36.799432
-53.4,3,36.836846
-10.0,3,36.86289
-10.0,1,36.882455
