algo,seed,step,episode_return
dqn,0,1062,-35.1
dqn,0,1064,-35.4
dqn,0,1065,-10.0
dqn,0,1067,-44.4
dqn,0,1068,-36.9
dqn,0,1070,-69.3
dqn,0,1071,-10.0
dqn,0,1073,-10.0
dqn,0,1074,-33.6
dqn,0,1075,-48.6
dqn,0,1077,-66.9
dqn,0,1079,-38.1
dqn,0,1081,-30.3
dqn,0,1082,-67.5
dqn,0,1083,-36.9
dqn,0,1084,-49.8
dqn,0,1087,-54.3
dqn,0,1088,-10.0
dqn,0,1089,-41.4
dqn,0,1090,-67.2
dqn,0,1092,-78.3
dqn,0,1093,-10.0
dqn,0,1094,-44.4
dqn,0,1096,-66.9
dqn,0,1097,-43.5
dqn,0,1099,-70.5
dqn,0,1100,-10.0
dqn,0,1102,-48.3
dqn,0,1104,-10.0
dqn,0,1106,-48.3
dqn,0,1109,-10.0
dqn,0,1110,-30.6
dqn,0,1111,-10.0
dqn,0,1114,-38.1
dqn,0,1116,-54.6
dqn,0,1118,-29.4
dqn,0,1125,-10.0
dqn,0,1126,-10.0
dqn,0,1127,-33.6
dqn,0,1128,-10.0
dqn,0,1129,-38.7
dqn,0,1130,-10.0
dqn,0,1133,-36.3
dqn,0,1135,-44.4
dqn,0,1136,-10.0
dqn,0,1137,-10.0
dqn,0,1139,-62.1
dqn,0,1142,-46.8
dqn,0,1143,-10.0
dqn,0,1144,-10.0
dqn,0,1145,-25.8
dqn,0,1147,-10.0
dqn,0,1148,-25.2
dqn,0,1150,-38.4
dqn,0,1151,-43.2
dqn,0,1154,-10.0
dqn,0,1156,-67.2
dqn,0,1157,-48.6
dqn,0,1160,-42.9
dqn,0,1162,-24.9
dqn,0,1163,-33.6
dqn,0,1166,-10.0
dqn,0,1168,-42.6
dqn,0,1171,-28.2
dqn,0,1172,-10.0
dqn,0,1173,-72.6
dqn,0,1175,-42.6
dqn,0,1177,-10.0
dqn,0,1179,-10.0
dqn,0,1180,-10.0
dqn,0,1182,-10.0
dqn,0,1183,-44.4
dqn,0,1185,-10.0
dqn,0,1188,-29.1
dqn,0,1194,-68.1
dqn,0,1195,-70.8
dqn,0,1196,-43.2
dqn,0,1201,-10.0
dqn,0,1203,-10.0
dqn,0,1206,-54.3
dqn,0,1207,-48.6
dqn,0,1208,-31.5
dqn,0,1210,-39.9
dqn,0,1211,-56.7
dqn,0,1212,-10.0
dqn,0,1213,-10.0
dqn,0,1218,-10.0
dqn,0,1220,-10.0
dqn,0,1221,-64.8
dqn,0,1222,-10.0
dqn,0,1223,-10.0
dqn,0,1225,-10.0
dqn,0,1228,-42.9
dqn,0,1229,-30.6
dqn,0,1230,-35.7
dqn,0,1233,-10.0
dqn,0,1236,-54.3
dqn,0,1237,-45.0
dqn,0,1240,-10.0
dqn,0,1245,-30.9
dqn,0,1246,-10.0
dqn,0,1248,-48.3
dqn,0,1249,-64.8
dqn,0,1250,-10.0
dqn,0,1251,-49.8
dqn,0,1252,-65.4
dqn,0,1253,-10.0
dqn,0,1254,-10.0
dqn,0,1256,-10.0
dqn,0,1263,-10.0
dqn,0,1265,-10.0
dqn,0,1267,-10.0
dqn,0,1268,-49.5
dqn,0,1269,-68.1
dqn,0,1274,-10.0
dqn,0,1278,-71.7
dqn,0,1279,-54.0
dqn,0,1280,-41.1
dqn,0,1281,-65.4
dqn,0,1285,-48.0
dqn,0,1286,-47.1
dqn,0,1288,-10.0
dqn,0,1290,-47.1
dqn,0,1291,-10.0
dqn,0,1292,-10.0
dqn,0,1293,-64.8
dqn,0,1296,-48.0
dqn,0,1297,-47.7
dqn,0,1299,-67.8
dqn,0,1300,-25.8
dqn,0,1301,-41.1
