#{"t_start": 1786828163.5632281, "env_id": "None"}
r,l,t
-48.6,1,3.747764
-32.1,1,3.757583
-10.0,1,3.767393
-10.0,1,3.772027
-28.8,1,3.774692
-10.0,1,3.781405
-54.0,1,3.792474
-10.0,1,3.796995
-62.1,1,3.801305
-10.0,2,3.808278
-10.0,1,3.81822
-10.0,1,3.825846
-31.2,1,3.83443
-33.3,2,3.841888
-10.0,1,3.852788
-10.0,2,3.86518
-10.0,1,3.86951
-10.0,1,3.872509
-28.8,4,3.894163
-43.8,3,3.907072
-25.2,1,3.911566
-10.0,2,3.919835
-40.5,3,3.944133
-31.5,1,3.947567
-10.0,1,3.950663
-70.8,1,3.955637
-10.0,1,3.971962
-30.9,1,3.976606
-28.8,1,3.979951
-10.0,1,3.984342
-10.0,1,4.003176
-42.9,2,4.010007
-34.2,1,4.015535
-46.8,3,4.033436
-10.0,1,4.046114
-10.0,1,4.059791
-33.6,1,4.06574
-10.0,1,4.072874
-10.0,1,4.091962
-10.0,1,4.105116
-10.0,5,4.124927
-10.0,1,4.129408
-72.0,3,4.151484
-10.0,2,4.156899
-39.0,1,4.168175
-53.7,1,4.175703
-10.0,1,4.189839
-10.0,1,4.196272
-10.0,3,4.214603
-42.3,1,4.220156
-10.0,2,4.244717
-10.0,2,4.254448
-10.0,2,4.269793
-61.8,3,4.284841
-32.1,1,4.297832
-66.3,5,4.319413
-43.2,1,4.326178
-10.0,2,4.341726
-48.6,1,4.360532
-45.0,1,4.369559
-10.0,4,4.415004
-10.0,1,4.440604
-43.2,1,4.473135
-10.0,1,4.483038
-40.2,1,4.49142
-36.9,1,4.522695
-10.0,1,4.546776
-43.8,2,4.557046
-10.0,1,4.576764
-10.0,1,4.5864
-61.8,1,4.606267
-10.0,1,4.614341
-10.0,2,4.635094
-10.0,1,4.644806
-10.0,1,4.663608
-45.0,2,4.683363
-10.0,1,4.690928
-10.0,2,4.71224
-28.8,1,4.734281
-31.8,2,4.742883
-10.0,2,4.760899
-10.0,1,4.769108
-10.0,1,4.787653
-10.0,1,4.80457
-10.0,1,4.813758
-62.1,1,4.820758
-10.0,1,4.841394
-10.0,1,4.860253
-10.0,2,4.868458
-10.0,3,4.888495
-10.0,1,4.904109
-10.0,1,4.910673
-10.0,5,4.937543
-10.0,1,4.942591
-10.0,1,4.959008
-43.2,1,4.967831
-10.0,1,4.980712
-54.9,1,4.987472
-93.3,1,5.002433
-10.0,1,5.006752
-32.1,1,5.019709
-10.0,2,5.026658
-10.0,2,5.053914
-33.9,2,5.059697
-10.0,3,5.082386
-10.0,6,5.105665
-32.7,4,5.135331
-10.0,2,5.153891
-35.7,1,5.162886
-34.2,2,5.186107
-42.6,3,5.213046
-10.0,1,5.234253
-10.0,1,5.245702
-33.6,1,5.25584
-10.0,1,5.28387
-10.0,1,5.30597
-41.7,2,5.318895
-10.0,1,5.328809
-10.0,1,5.363901
-34.5,1,5.371683
-10.0,1,5.381179
-32.1,1,5.387304
-69.6,1,5.421649
-10.0,2,5.430709
-10.0,1,5.439878
-41.1,1,5.460676
-44.7,3,5.489025
-10.0,1,5.507025
-10.0,1,5.514318
-35.7,1,5.521268
-10.0,1,5.549077
-10.0,1,5.571046
-32.1,1,5.578812
-45.0,2,5.589608
-39.0,1,5.623684
-10.0,3,5.638731
-41.7,3,5.664949
-43.8,4,5.690427
-44.1,2,5.721823
-10.0,4,5.745226
-10.0,2,5.756462
-64.2,3,5.784121
-10.0,2,5.808559
-39.0,1,5.827376
-49.2,1,5.83463
-10.0,1,5.839345
-70.8,1,5.857649
-41.1,1,5.873981
-42.9,2,5.88507
-43.2,1,5.891477
-48.9,3,5.923829
-43.5,4,5.946478
-42.9,1,5.952931
-10.0,2,5.969857
-41.7,2,5.98899
-35.1,1,6.004464
-46.5,2,6.012925
-10.0,1,6.023333
-70.2,3,6.074808
-54.9,1,6.087607
-10.0,4,6.12512
-10.0,4,6.161716
-54.0,1,6.212712
-56.7,1,6.221771
-10.0,1,6.230755
-46.5,2,6.251532
-10.0,2,6.272173
-10.0,2,6.293496
-44.4,1,6.2985
-47.1,1,6.303132
-10.0,1,6.32172
-10.0,2,6.344185
-46.8,1,6.351884
-43.8,2,6.367611
-10.0,1,6.385288
-10.0,2,6.397296
-10.0,2,6.416697
