#{"t_start": 1786475270.7516503, "env_id": "None"}
r,l,t
-40.2,1,11.230083
-35.4,2,11.238979
-10.0,1,11.244404
-10.0,1,11.249492
-10.0,3,11.258324
-10.0,1,11.262389
-44.7,3,11.269804
-46.5,2,11.274575
-44.1,4,11.281662
-62.1,1,11.284799
-67.2,1,11.288191
-42.0,2,11.292368
-34.5,1,11.295036
-10.0,1,11.297813
-33.6,1,11.300484
-48.6,1,11.303208
-42.9,2,11.307264
-66.9,2,11.311165
-69.6,1,11.313863
-62.1,1,11.316477
-10.0,1,11.319141
-10.0,1,11.321984
-38.7,1,11.32461
-54.0,1,11.327357
-10.0,1,11.330537
-42.9,1,11.333305
-44.7,3,11.338792
-40.2,1,11.341646
-42.3,1,11.344144
-48.6,1,11.3467
-41.1,1,11.349333
-10.0,1,11.351905
-10.0,1,11.35506
-10.0,1,11.358051
-34.2,1,11.360707
-68.1,1,11.363653
-10.0,1,11.366709
-69.6,1,11.370065
-33.6,1,11.374226
-10.0,2,11.379543
-10.0,2,11.385478
-54.0,1,11.389592
-10.0,1,11.393725
-10.0,3,11.401708
-42.6,1,11.40616
-70.5,2,11.41226
-51.3,1,11.416525
-10.0,1,11.420932
-10.0,1,11.4253
-72.6,1,11.429447
-10.0,1,11.433681
-42.9,1,11.437943
-10.0,3,11.446077
-10.0,1,11.450531
-42.0,1,11.45428
-10.0,1,11.457897
-70.8,1,11.461087
-10.0,1,11.463935
-48.3,2,11.469766
-87.0,1,11.497095
-34.5,1,11.502833
-44.1,2,11.511405
-10.0,2,11.519316
-34.8,4,11.535944
-41.1,1,11.542991
-10.0,1,11.54824
-10.0,2,11.557218
-10.0,1,11.562361
-10.0,1,11.567575
-10.0,1,11.574351
-53.1,4,11.586924
-64.8,1,11.592495
-10.0,1,11.597722
-10.0,1,11.602937
-10.0,3,11.613768
-44.7,1,11.617964
-38.1,2,11.626162
-10.0,1,11.631275
-38.4,2,11.641137
-10.0,1,11.646487
-36.9,1,11.651771
-10.0,1,11.657272
-93.0,2,11.665084
-30.9,1,11.670657
-10.0,2,11.678667
-37.8,3,11.689023
-53.7,1,11.694563
-53.7,1,11.698659
-10.0,1,11.702889
-46.8,1,11.706706
-10.0,6,11.717087
-54.0,1,11.719973
-10.0,3,11.725739
-54.6,2,11.729811
-70.8,1,11.732538
-86.7,2,11.737778
-33.6,1,11.741853
-10.0,2,11.746299
-24.9,2,11.750469
-10.0,2,11.755409
-42.3,1,11.758511
-10.0,1,11.761491
-10.0,1,11.764393
-41.1,1,11.767281
-10.0,1,11.770408
-40.2,1,11.773706
-10.0,1,11.776714
-10.0,2,11.780849
-45.3,1,11.784632
-28.5,2,11.789059
-32.7,4,11.795862
-41.1,1,11.79862
-10.0,1,11.801358
-41.1,1,11.804337
-78.6,1,11.807419
-56.7,1,11.810273
-10.0,1,11.81325
-10.0,1,11.816113
-10.0,1,11.818898
-54.0,1,11.82193
-10.0,1,11.82514
-10.0,1,11.827991
-48.9,1,11.831285
-10.0,3,11.837789
-32.1,1,11.841711
-10.0,1,11.845565
-61.5,1,11.849736
-43.2,1,11.855162
-35.4,2,11.861808
-10.0,2,11.869117
-25.8,1,11.874463
-48.6,1,11.879205
-61.5,2,11.887846
-10.0,2,11.895505
-10.0,1,11.901377
-69.6,1,11.907481
-10.0,3,11.917624
-10.0,1,11.923764
-32.1,1,11.928962
-47.4,1,11.934112
-10.0,1,11.939732
-34.5,1,11.944731
-10.0,1,11.949573
-54.9,1,11.954885
